Nivel,Tipo de Curso,Plan,Cód.,Descripción,Tray.,Año,Mód.,Sem.,Grupo,Turno,Cód.,Descripción,Ruee Calculado,Rule calculado
EDUCACION MEDIA BASICA,CICLO BASICO TECNOLOGICO,2007,127,C. B. T.  ALTERNANCIA, , 3,0, ,3A,DOBLE TURNO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302023,4020093
EDUCACION MEDIA BASICA,CICLO BASICO TECNOLOGICO,2013,12A,RURAL, , 1,0, ,1A,DOBLE TURNO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302023,4020093
EDUCACION MEDIA BASICA,CICLO BASICO TECNOLOGICO,2013,12A,RURAL, , 1,0, ,1B,DOBLE TURNO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302023,4020093
EDUCACION MEDIA BASICA,CICLO BASICO TECNOLOGICO,2013,12A,RURAL, , 2,0, ,2A,DOBLE TURNO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302023,4020093
EDUCACION MEDIA BASICA,CICLO BASICO TECNOLOGICO,2013,12A,RURAL, , 2,0, ,2B,DOBLE TURNO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302023,4020093
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA TECNOLOGICA,2004,04A,AGRARIO (R), , 1,0, ,BA,DOBLE TURNO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302023,4020093
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA TECNOLOGICA,2004,04A,AGRARIO (R), , 1,0, ,BB,DOBLE TURNO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302023,4020093
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA TECNOLOGICA,2004,04A,AGRARIO (R), , 2,0, ,BA,DOBLE TURNO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302023,4020093
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA TECNOLOGICA,2004,04A,AGRARIO (R), , 3,0, ,BA,DOBLE TURNO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302023,4020093
EDUCACION MEDIA BASICA,CICLO BASICO TECNOLOGICO,2007,125,CICLO BASICO TECNOLOGICO, , 1,0, ,1A,MATUTINO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302091,4020094
EDUCACION MEDIA BASICA,CICLO BASICO TECNOLOGICO,2007,125,CICLO BASICO TECNOLOGICO, , 1,0, ,1B,MATUTINO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302091,4020094
EDUCACION MEDIA BASICA,CICLO BASICO TECNOLOGICO,2007,125,CICLO BASICO TECNOLOGICO, , 1,0, ,1C,MATUTINO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302091,4020094
EDUCACION MEDIA BASICA,CICLO BASICO TECNOLOGICO,2007,125,CICLO BASICO TECNOLOGICO, , 1,0, ,1D,MATUTINO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302091,4020094
EDUCACION MEDIA BASICA,CICLO BASICO TECNOLOGICO,2007,125,CICLO BASICO TECNOLOGICO, , 1,0, ,1E,VESPERTINO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302091,4020094
EDUCACION MEDIA BASICA,CICLO BASICO TECNOLOGICO,2007,125,CICLO BASICO TECNOLOGICO, , 1,0, ,1F,VESPERTINO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302091,4020094
EDUCACION MEDIA BASICA,CICLO BASICO TECNOLOGICO,2007,125,CICLO BASICO TECNOLOGICO, , 2,0, ,2A,MATUTINO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302091,4020094
EDUCACION MEDIA BASICA,CICLO BASICO TECNOLOGICO,2007,125,CICLO BASICO TECNOLOGICO, , 2,0, ,2B,MATUTINO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302091,4020094
EDUCACION MEDIA BASICA,CICLO BASICO TECNOLOGICO,2007,125,CICLO BASICO TECNOLOGICO, , 2,0, ,2C,MATUTINO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302091,4020094
EDUCACION MEDIA BASICA,CICLO BASICO TECNOLOGICO,2007,125,CICLO BASICO TECNOLOGICO, , 2,0, ,2D,VESPERTINO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302091,4020094
EDUCACION MEDIA BASICA,CICLO BASICO TECNOLOGICO,2007,125,CICLO BASICO TECNOLOGICO, , 2,0, ,2E,VESPERTINO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302091,4020094
EDUCACION MEDIA BASICA,CICLO BASICO TECNOLOGICO,2007,125,CICLO BASICO TECNOLOGICO, , 3,0, ,3A,MATUTINO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302091,4020094
EDUCACION MEDIA BASICA,CICLO BASICO TECNOLOGICO,2007,125,CICLO BASICO TECNOLOGICO, , 3,0, ,3B,MATUTINO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302091,4020094
EDUCACION MEDIA BASICA,CICLO BASICO TECNOLOGICO,2007,125,CICLO BASICO TECNOLOGICO, , 3,0, ,3C,MATUTINO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302091,4020094
EDUCACION MEDIA BASICA,CICLO BASICO TECNOLOGICO,2007,125,CICLO BASICO TECNOLOGICO, , 3,0, ,3D,VESPERTINO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302091,4020094
