CARRERA,DURACIÓN,PLAN DE ESTUDIOS VIGENTE,SERVICIO UNIVERSITARIO,SERVICIO UNIVERSITARIO DE REFERENCIA,ENLACE A INFORMACIÓN INSTITUCIONAL,Nivel,Titulación
LICENCIATURA EN BIOLOGÍA HUMANA,4 AÑOS,,MONTEVIDEO_FACULTAD DE CIENCIAS,,https://www.fcien.edu.uy/ensenanza/carreras-de-grado/licenciatura-en-biologia-humana/2328-licenciatura-en-biologia-humana-2,Grado,Licenciado/a
LICENCIATURA EN NUTRICION,4 AÑOS,2014,MONTEVIDEO_ESCUELA DE NUTRICIÓN,,https://www.nutricion.edu.uy/?page_id=11002,Grado,Licenciado/a
OBSTETRA PARTERA,4 AÑOS,1996,MONTEVIDEO_FACULTAD DE MEDICINA,,https://www.fmed.edu.uy/ensenanza/grado,Grado,Obstetra-Partera/o
LICENCIATURA EN ENFERMERIA,4 AÑOS,2016,MONTEVIDEO_FACULTAD DE ENFERMERÍA,,https://www.fenf.edu.uy/plan-de-estudios-2016/,Grado,Licenciado/a
DOCTOR EN MEDICINA,7 AÑOS,2008,MONTEVIDEO_FACULTAD DE MEDICINA,,https://www.fmed.edu.uy/ensenanza/carreras-de-grado/dr-en-medicina,Grado,Doctor/a
LICENCIATURA EN FISIOTERAPIA,4 AÑOS,2006,MONTEVIDEO_FACULTAD DE MEDICINA,,https://www.fmed.edu.uy/ensenanza/carreras-de-grado/dr-en-medicina,Grado,Licenciado/a
LICENCIATURA EN FONOAUDIOLOGIA,4 AÑOS,2006,MONTEVIDEO_FACULTAD DE MEDICINA,,https://www.fmed.edu.uy/ensenanza/carreras-de-grado/dr-en-medicina,Grado,Licenciado/a
LICENCIATURA EN IMAGENOLOGIA,4 AÑOS,2006,MONTEVIDEO_FACULTAD DE MEDICINA,,https://www.fmed.edu.uy/ensenanza/carreras-de-grado/dr-en-medicina,Grado,Licenciado/a
LICENCIATURA EN INSTRUMENTACION QUIRURGICA,4 AÑOS,2006,MONTEVIDEO_FACULTAD DE MEDICINA,,https://www.fmed.edu.uy/ensenanza/carreras-de-grado/dr-en-medicina,Grado,Licenciado/a
LICENCIATURA EN LABORATORIO CLINICO,4 AÑOS,2006,MONTEVIDEO_FACULTAD DE MEDICINA,,https://www.fmed.edu.uy/ensenanza/carreras-de-grado/dr-en-medicina,Grado,Licenciado/a
LICENCIATURA EN NEUMOCARDIOLOGIA,4 AÑOS,2006,MONTEVIDEO_FACULTAD DE MEDICINA,,https://www.fmed.edu.uy/ensenanza/carreras-de-grado/dr-en-medicina,Grado,Licenciado/a
LICENCIATURA EN NEUROFISIOLOGIA CLINICA,4 AÑOS,2006,MONTEVIDEO_FACULTAD DE MEDICINA,,https://www.fmed.edu.uy/ensenanza/carreras-de-grado/dr-en-medicina,Grado,Licenciado/a
