Ruee_Calculado,Rule_Calculado,GRADO_ANNO,BACHIILER_DIVNOMBRE,Turno,PLAN,MODALIDAD,NOMBRELIC,DescPlan,RUEE_RAD
1219001,3190082,4,,NOCTURNO ,PLAN 1994 MARTHA AVERBUG,SEMESTRAL,TREINTA Y TRES DEPTAL.,https://www.dges.edu.uy/propuesta-educativa/educacion-media-superior-plan-1994,
1219001,3190082,4,,NOCTURNO ,PLAN 1994 MARTHA AVERBUG,SEMESTRAL,TREINTA Y TRES DEPTAL.,https://www.dges.edu.uy/propuesta-educativa/educacion-media-superior-plan-1994,
1219001,3190082,4,,NOCTURNO ,PLAN 1994 MARTHA AVERBUG,SEMESTRAL,TREINTA Y TRES DEPTAL.,https://www.dges.edu.uy/propuesta-educativa/educacion-media-superior-plan-1994,
1219001,3190082,4,,MATUTINO EXTENDIDO,PLAN 2024 EDUCACIÓN MEDIA SUPERIOR,ANUAL,TREINTA Y TRES DEPTAL.,https://www.dges.edu.uy/node/120417,
1219001,3190082,4,,INTERMEDIO EXTENDIDO ,PLAN 2024 EDUCACIÓN MEDIA SUPERIOR,ANUAL,TREINTA Y TRES DEPTAL.,https://www.dges.edu.uy/node/120417,
1218015,3180148,4,,INTERMEDIO EXTENDIDO ,REFORMULACIÓN 2006,ANUAL,ACHAR,https://www.dges.edu.uy/propuesta-educativa/educacion-media-superior-plan-2006,
1218015,3180148,4,,INTERMEDIO EXTENDIDO ,REFORMULACIÓN 2006,ANUAL,ACHAR,https://www.dges.edu.uy/propuesta-educativa/educacion-media-superior-plan-2006,
1218015,3180148,4,,INTERMEDIO EXTENDIDO ,PLAN 2023 EDUCACIÓN MEDIA BÁSICA,ANUAL,ACHAR,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-integrada-plan-2023,
1218015,3180148,4,,INTERMEDIO EXTENDIDO ,PLAN 2023 EDUCACIÓN MEDIA BÁSICA,ANUAL,ACHAR,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-integrada-plan-2023,
1218015,3180148,4,,INTERMEDIO EXTENDIDO ,PLAN 2023 EDUCACIÓN MEDIA BÁSICA,ANUAL,ACHAR,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-integrada-plan-2023,
1218015,3180148,4,,INTERMEDIO EXTENDIDO ,PLAN 2024 EDUCACIÓN MEDIA SUPERIOR,ANUAL,ACHAR,https://www.dges.edu.uy/node/120417,
1218014,3180150,4,,MATUTINO EXTENDIDO,REFORMULACIÓN 2006,ANUAL,CURTINA,https://www.dges.edu.uy/propuesta-educativa/educacion-media-superior-plan-2006,
